dish_name,recipe_item_id,costo_folvy,costo_tspoon,delta_eur,delta_pct,centros,notas
Rollitos de Queso Feta (3 unidades),db287790-1f7f-47bf-8212-8998bf21a7f3,0.577800,1.302900,-0.725100,-55.652775,FoodInt Alcalá|Foodint Pza Castilla|Master,3 muestras
Garlic Smash,146ddfc5-1e9e-43a3-9c36-7cbbcad037a1,1.612800,2.408335,-0.795535,-33.032572,FoodInt Alcalá|Foodint Pza Castilla|Master,4 muestras
Korean SBB,3687f3a0-9eac-46df-86ae-1f7b992a59c8,1.612800,2.052440,-0.439640,-21.420358,FoodInt Alcalá|Foodint Pza Castilla|Master,3 muestras
Kebab de Ternera Gyros 🌯,93af54ff-75be-453a-b83f-89521e6a42bc,2.017640,2.538410,-0.520770,-20.515598,Master,
Kebab de Ternera,f46ae2a9-8f48-477b-971a-57bff696e400,2.017640,2.538410,-0.520770,-20.515598,Master,
Falafel con salsa de yogur (3 unidades),b6f4fbac-3f79-49d6-875e-b74d014e9123,1.261150,1.577470,-0.316320,-20.052362,Master,
Burrito Bendito de Tinga de Pollo,22168790-dd48-4fae-9b5d-97457958bde3,2.603250,3.233355,-0.630105,-19.487653,Foodint Pza Castilla|Master,2 muestras
Crispy Falafel & Greek Dip (3 uds) 🌿,28ca979b-7e15-41fe-88e3-c14a1b9169bd,1.261150,1.561493,-0.300343,-19.234365,FoodInt Alcalá|Foodint Pza Castilla|Master,3 muestras
Pita BOWL de Falafel,82b3efda-6920-42f8-9a9f-6194d075a4ab,1.603210,1.958610,-0.355400,-18.145522,Master,
Pita BOWL Ternera: Sabor Tradicional 🥗,11129044-02bb-4471-9082-af7d7b309134,1.910210,2.333610,-0.423400,-18.143563,Master,
Burrito Colosal de Cochinita,7e29c597-2983-493c-8a55-be25c96260f9,2.843250,3.455827,-0.612577,-17.725908,FoodInt Alcalá|Foodint Pza Castilla|Master,3 muestras
Burrito Tremendo de Birria de Ternera,2e7b5c56-8b70-4b31-8e14-ef4daccf1993,3.264050,3.897250,-0.633200,-16.247354,FoodInt Alcalá|Foodint Pza Castilla,2 muestras
Pita de Falafel,252e6d70-463b-41f0-9b73-fbf1ecfda45a,1.751210,2.065880,-0.314670,-15.231766,Master,
Kebab Mixto: Pollo y Ternera 🌯,127b184e-05ef-4826-b014-dd15ad55ac1a,1.999040,2.353550,-0.354510,-15.062778,Master,
The Green Falafel: Pita Artesana 🌿,c9ae9cbf-8669-44aa-8d31-abd407576d3b,1.751210,2.057725,-0.306515,-14.895819,FoodInt Alcalá|Master,2 muestras
Burrito Monumental Vegetal,26c637a5-3c34-4f89-a0a3-5461484c4f68,1.661960,1.878340,-0.216380,-11.519746,Master,
Pita Mixta (Pollo y Ternera),b062758b-2910-43ec-a0bc-ce02198e659c,2.042710,2.286830,-0.244120,-10.675039,Master,
Pita BOWL Mixto,a08cb424-0840-43c8-a3ed-1e7a88d1f8eb,1.876410,2.063170,-0.186760,-9.052090,Master,
Kebab de Pollo Gyros 🌯,28938f09-5a41-427c-9c00-ff8f0a6b232c,1.980440,2.168690,-0.188250,-8.680355,Master,
Kebab de Falafel 🌿,9407860f-a8a7-4363-80c1-344c9df82957,1.744040,1.904410,-0.160370,-8.420981,Master,
Korean Crispy Chicken BBQ,5b089f9a-09ec-49d6-b1c7-df4f5cec33c8,1.612800,1.760640,-0.147840,-8.396947,Foodint Pza Castilla|Master,2 muestras
Korean,6f07d1cf-cb0f-4573-8856-7bd9eab94fd1,1.612800,1.760640,-0.147840,-8.396947,Foodint Pza Castilla|Master,2 muestras
The Beef Legend: Pita de Ternera Gyros 🌯,33dbe44c-d497-447e-a931-fa36451677a1,2.058210,2.229193,-0.170983,-7.670189,FoodInt Alcalá|Foodint Pza Castilla|Master,3 muestras
Pita BOWL Pollo: El Clásico Jugoso 🥗,05740417-da88-4ef0-9050-f81cc9d0850c,1.879210,2.029360,-0.150150,-7.398884,FoodInt Alcalá|Master,2 muestras
Budapest SBB,84933e73-66f5-45b1-b384-ffc787a36e1a,2.136350,2.276410,-0.140060,-6.152670,Foodint Pza Castilla,
The Mixed Master: Pita Mixta Gyros 🌯,4e1dff66-7624-4d19-a116-084e3e4b1313,2.042710,2.167517,-0.124807,-5.758049,FoodInt Alcalá|Foodint Pza Castilla|Master,3 muestras
Pita de Pollo,5720b5e2-1ec3-4d95-b9d8-1f1f60c57c7e,2.027210,2.132780,-0.105570,-4.949878,Master,
Budapest,9be3406b-d062-46da-b171-6d351e048bdb,2.136350,2.245213,-0.108863,-4.848685,FoodInt Alcalá|Foodint Pza Castilla|Master,3 muestras
The Golden Chicken: Pita de Pollo Gyros 🌯,9b874aab-2818-4099-bb89-2499250b3dfe,2.027210,2.105840,-0.078630,-3.733902,FoodInt Alcalá|Foodint Pza Castilla|Master,3 muestras
Pita BOWL Mixto: La Experiencia Completa 🥗,c1d84126-f751-47fe-9f16-d34acef11daf,1.876410,1.943757,-0.067347,-3.464768,FoodInt Alcalá|Foodint Pza Castilla|Master,3 muestras
Scandal Burger Bacon Original,ce73a984-ec5c-40e1-9b51-1e2cb9d98f3e,1.656050,1.691300,-0.035250,-2.084196,Master,
Doble Burger La Scandal,ed4bc41d-2b16-4108-9c73-e6c63e81c3cd,2.169500,2.205300,-0.035800,-1.623362,Master,
La Scandal Burger de Pollo,72f10b80-bc23-4e08-971f-39a01471a096,1.832130,1.855360,-0.023230,-1.252048,Master,
Doble Scandal Cheese Lover,b6ad1eaa-c7a7-4546-bc7d-f13c10ce33c9,2.653200,2.673520,-0.020320,-0.760047,Master,
