settlement_ref;marca;calle;fecha_factura;n_pedidos;productos;promo_producto;promo_oferta_flash;comision_pct;total_comision;tasa_acceso;prime;tasa_espera;tarifas_oferta_flash;servicio_entrega;promo_df;coste_incidencias;devol_incidencias;glovos_remunerados;tasa_efectivo;recargo_minimo
200012796138;The Urban Kebab;C. de Florencio Llorente;2026-03-15;3;-67.1;0.0;0.0;90.0;67.1;9.059999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200022763781;Mila's Sandwiches;Calle de Florencio Llorente 29;2026-03-15;30;-595.8999999999999;75.92;0.0;900.0;519.98;33.11000000000001;5.920000000000001;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200022764059;Scandal Burgers;C. de Florencio Llorente;2026-03-15;3;-87.19999999999999;43.599999999999994;0.0;90.0;43.599999999999994;1.8399999999999999;0.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200172745966;Smash Brothers Burgers;Calle de Florencio Llorente 29;2026-03-15;7;-242.3;72.69;0.0;105.0;169.61;25.43;1.5;0.0;0.0;-24.5;0.0;12.2;0.0;0.0;0.0;0.0
200212774656;Milanesa House;Calle de Florencio Llorente 29;2026-03-15;56;-1387.7999999999997;80.40000000000002;0.0;1680.0;1307.4000000000003;186.89999999999992;20.25;0.25;0.0;0.0;0.0;13.2;0.0;0.0;0.0;0.0
200212774783;Bendito Burrito;Calle de Florencio Llorente 29;2026-03-15;26;-682.9;33.519999999999996;0.0;780.0;649.38;109.57000000000002;6.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200242742152;Meraki Pita;Calle de Florencio Llorente 29;2026-03-15;39;-1342.0999999999997;466.59999999999985;0.0;1170.0;875.4999999999995;139.54999999999995;12.580000000000002;0.0;0.0;0.0;0.0;70.6;0.0;0.0;0.0;0.0
200372766317;Milanesa House;Calle de Florencio Llorente 29;2026-03-15;23;-572.5000000000001;58.9;0.0;345.0;513.6;77.08000000000001;9.0;0.0;0.0;-80.5;0.0;0.0;0.0;0.0;0.0;0.0
200491003803;Scandal Burger;Calle de Florencio Llorente 29;2026-03-15;5;-201.0;99.2;0.0;150.0;101.80000000000001;14.839999999999998;0.74;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200520988958;Smash Brothers;C. de Florencio Llorente;2026-03-15;11;-235.9;37.739999999999995;0.0;330.0;198.16;21.92;0.74;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200520989047;Bendito Burrito;Calle de Florencio Llorente 29;2026-03-15;5;-185.6;23.84;0.0;75.0;161.76;24.27;0.75;0.0;0.0;-17.5;0.0;0.0;0.0;0.0;0.0;0.0
200520989092;The Urban Kebab;Calle de Florencio Llorente 29;2026-03-15;4;-93.0;0.0;0.0;120.0;93.0;12.959999999999999;2.2199999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200640939734;Meraki Pita;Calle de Florencio Llorente 29;2026-03-15;17;-626.3999999999999;259.40000000000003;0.0;255.0;366.9999999999999;55.08000000000001;5.25;0.0;0.0;-59.5;0.0;0.0;0.0;0.0;0.0;0.0
200720960755;Milanesa House;Calle de Florencio Llorente 29;2026-03-15;62;-1317.2999999999995;146.48000000000005;0.0;1860.0;1170.8200000000004;122.29000000000003;21.45999999999999;9.75;0.0;0.0;4.470000000000001;20.14;0.0;0.0;0.0;0.0
